Region,Crop,Soil_Type,Irrigation_Type,Rainfall_mm,Temperature_C,Humidity_Percent,Soil_Moisture_Percent,Fertilizer_kg_per_hectare,Irrigation_Hours,Pest_Level,Crop_Yield_Tons_per_Hectare
Maharashtra,Cotton,Loamy,Drip,1268.4,20.8,84.4,61.1,144.7,9.2,2.7,7.25
Maharashtra,Maize,Loamy,Canal,713.8,37.0,87.6,49.0,167.2,11.2,5.8,6.21
Andhra Pradesh,Wheat,Black Soil,Sprinkler,250.0,25.3,71.1,25.0,116.3,6.2,3.7,4.86
Maharashtra,Sugarcane,Red Soil,Canal,753.4,36.4,77.6,38.5,61.9,7.1,5.3,5.2
Andhra Pradesh,Sugarcane,Black Soil,Rainfed,1027.4,27.0,84.8,57.1,132.4,6.1,3.9,6.81
Karnataka,Maize,Sandy,Sprinkler,781.4,26.6,54.1,43.3,159.3,4.5,5.1,5.83
Andhra Pradesh,Maize,Loamy,Rainfed,937.4,27.0,47.2,43.2,149.0,9.1,5.9,5.45
Andhra Pradesh,Cotton,Sandy,Drip,986.4,26.4,67.3,51.3,114.0,8.0,6.5,5.41
Maharashtra,Rice,Clay,Rainfed,701.9,38.1,47.0,38.7,106.8,0.0,4.4,4.46
Maharashtra,Maize,Clay,Rainfed,665.7,27.7,64.2,42.6,113.7,3.9,1.9,4.65
Tamil Nadu,Maize,Black Soil,Canal,813.8,26.8,71.8,42.9,157.9,0.8,3.2,5.79
Tamil Nadu,Groundnut,Red Soil,Rainfed,819.1,28.3,64.7,43.5,141.6,11.7,3.5,5.46
Karnataka,Wheat,Sandy,Sprinkler,791.9,24.1,66.3,51.5,101.5,6.5,2.5,5.2
Tamil Nadu,Groundnut,Red Soil,Sprinkler,800.9,34.4,56.0,30.2,100.6,7.7,2.2,5.15
Andhra Pradesh,Groundnut,Black Soil,Drip,615.3,22.1,77.5,43.7,98.1,5.9,3.8,4.67
Maharashtra,Sugarcane,Clay,Sprinkler,945.1,25.5,55.2,54.3,77.7,10.3,1.7,6.59
Tamil Nadu,Rice,Red Soil,Canal,911.8,31.7,42.8,44.1,162.3,9.6,1.4,6.56
Tamil Nadu,Wheat,Red Soil,Drip,486.1,28.2,65.5,42.8,87.4,6.4,0.5,5.88
Karnataka,Cotton,Clay,Sprinkler,694.4,30.2,79.0,36.6,132.2,12.2,4.4,5.46
West Bengal,Cotton,Sandy,Canal,800.5,34.1,69.0,41.1,91.9,7.6,4.1,4.54
Karnataka,Maize,Clay,Sprinkler,662.5,32.0,54.0,36.9,98.3,2.6,2.9,5.31
Andhra Pradesh,Maize,Red Soil,Sprinkler,920.2,28.5,69.2,53.7,111.0,7.3,5.3,4.78
Maharashtra,Cotton,Sandy,Rainfed,765.3,36.4,73.3,33.7,134.1,8.6,1.7,4.33
Karnataka,Maize,Sandy,Sprinkler,817.2,25.5,69.1,55.3,105.9,6.6,4.2,5.23
Tamil Nadu,Rice,Clay,Sprinkler,691.8,27.6,64.8,40.5,75.1,5.8,3.6,5.61
Maharashtra,Groundnut,Red Soil,Canal,341.5,27.9,73.8,37.2,115.7,12.3,2.2,5.12
Maharashtra,Maize,Black Soil,Canal,328.9,27.6,47.1,36.4,88.2,3.4,2.6,5.08
Tamil Nadu,Sugarcane,Red Soil,Rainfed,909.7,23.7,57.3,48.7,169.0,0.0,2.5,5.82
Karnataka,Maize,Loamy,Sprinkler,838.7,21.7,52.3,42.4,105.9,11.9,4.0,5.45
Tamil Nadu,Wheat,Black Soil,Rainfed,876.5,29.7,84.2,54.4,91.6,3.3,4.6,5.09
West Bengal,Rice,Sandy,Sprinkler,809.6,25.5,76.5,42.2,184.1,6.1,2.7,5.8
Maharashtra,Wheat,Black Soil,Drip,827.2,35.6,70.2,41.3,140.9,5.9,2.2,5.99
Punjab,Wheat,Sandy,Drip,993.2,27.7,50.6,55.1,83.6,10.7,3.7,6.2
Punjab,Sugarcane,Sandy,Rainfed,877.8,27.0,76.9,47.8,87.3,11.3,0.5,5.71
Andhra Pradesh,Rice,Black Soil,Rainfed,1009.0,32.4,84.6,58.4,,3.1,3.6,5.48
Tamil Nadu,Rice,Sandy,Rainfed,817.7,29.6,74.9,45.1,116.5,11.1,6.3,4.75
Tamil Nadu,Rice,Sandy,Canal,713.9,27.3,67.6,38.9,146.2,11.0,2.2,5.5
Andhra Pradesh,Rice,Loamy,Canal,822.7,25.4,75.6,47.2,91.8,7.1,3.2,6.53
Andhra Pradesh,Rice,Red Soil,Canal,596.0,40.0,71.3,37.2,139.5,9.8,5.3,4.65
Andhra Pradesh,Sugarcane,Red Soil,Rainfed,696.4,29.4,79.1,38.7,36.7,10.1,4.9,4.71
Maharashtra,Maize,Loamy,Sprinkler,819.1,32.3,78.8,50.5,109.6,6.2,3.6,6.21
West Bengal,Wheat,Black Soil,Drip,816.2,23.9,65.3,56.4,93.4,6.5,3.4,6.09
Tamil Nadu,Rice,Clay,Rainfed,756.6,25.7,60.1,42.4,99.1,8.8,1.3,5.21
Maharashtra,Maize,Clay,Canal,474.6,36.4,63.2,31.0,111.4,2.1,4.4,4.56
Andhra Pradesh,Maize,Clay,Canal,920.0,33.6,74.4,47.1,154.8,5.9,1.1,6.43
Tamil Nadu,Wheat,Loamy,Rainfed,963.5,29.8,63.9,52.2,74.6,3.4,0.0,5.03
Maharashtra,Sugarcane,Loamy,Rainfed,1141.6,26.5,59.0,55.1,38.4,11.3,5.3,6.5
West Bengal,Cotton,Sandy,Canal,877.2,27.1,68.0,54.1,78.7,5.9,4.2,5.45
Maharashtra,Cotton,Clay,Sprinkler,780.3,25.3,81.3,48.5,150.8,7.8,5.1,5.78
West Bengal,Maize,Black Soil,Canal,557.1,23.4,69.6,32.3,57.4,6.3,2.2,5.47
Andhra Pradesh,Groundnut,Black Soil,Canal,1108.2,31.7,64.7,49.7,95.0,6.1,4.3,6.18
West Bengal,Groundnut,Clay,Rainfed,834.5,30.2,71.8,37.6,144.4,7.6,2.7,5.66
Tamil Nadu,Wheat,Clay,Sprinkler,822.5,30.9,69.0,52.4,113.0,4.8,2.9,6.29
Andhra Pradesh,Cotton,Clay,Canal,724.1,26.7,44.8,31.2,154.5,6.4,5.3,5.49
Tamil Nadu,Maize,Loamy,Canal,710.0,29.0,76.4,35.1,43.8,6.4,3.2,4.64
Punjab,Sugarcane,Loamy,Drip,931.4,26.3,72.9,45.2,103.7,5.7,2.2,6.26
Karnataka,Cotton,Loamy,Rainfed,555.3,25.1,68.2,42.3,161.8,8.2,1.0,5.57
West Bengal,Maize,Red Soil,Drip,1137.6,34.7,80.7,50.3,75.6,5.7,4.1,6.4
Karnataka,Maize,Black Soil,Drip,1089.7,28.5,82.6,50.1,151.2,11.8,5.4,6.72
Karnataka,Rice,Black Soil,Canal,702.1,30.0,77.6,,106.8,8.9,2.1,5.45
West Bengal,Sugarcane,Sandy,Rainfed,589.9,31.3,57.8,40.8,130.2,3.0,4.7,4.54
Andhra Pradesh,Rice,Loamy,Sprinkler,336.7,28.5,58.2,26.1,159.3,8.7,1.8,5.0
Punjab,Wheat,Red Soil,Canal,504.7,29.0,81.4,31.9,130.0,4.9,4.8,4.71
Tamil Nadu,Rice,Red Soil,Sprinkler,940.6,23.7,45.5,58.6,94.3,7.4,3.6,6.04
Maharashtra,Rice,Black Soil,Sprinkler,849.4,24.4,66.2,48.6,134.7,4.8,4.0,5.92
Tamil Nadu,Cotton,Loamy,Rainfed,888.6,24.2,73.3,51.8,91.8,0.4,2.2,5.86
Maharashtra,Groundnut,Sandy,Drip,374.0,30.4,47.0,34.7,124.6,6.9,4.1,3.91
Tamil Nadu,Maize,Loamy,Rainfed,692.9,28.3,70.8,41.5,71.2,2.7,2.4,4.99
West Bengal,Sugarcane,Clay,Sprinkler,1080.8,24.4,79.5,54.8,116.0,8.3,2.8,6.52
Punjab,Rice,Loamy,Canal,758.9,30.3,50.2,48.3,156.6,7.5,0.8,7.06
Maharashtra,Sugarcane,Clay,Sprinkler,500.1,30.2,87.9,42.6,104.5,5.2,2.1,5.38
Andhra Pradesh,Groundnut,Clay,Canal,755.4,25.2,55.9,43.1,153.3,12.5,2.6,6.35
Tamil Nadu,Groundnut,Sandy,Canal,610.4,27.9,74.9,46.0,220.0,3.3,4.1,4.36
Tamil Nadu,Rice,Black Soil,Rainfed,853.4,30.2,67.0,31.5,114.0,5.1,4.6,5.22
Maharashtra,Wheat,Loamy,Sprinkler,784.5,24.6,68.8,50.0,136.5,3.6,2.4,5.92
Andhra Pradesh,Rice,Clay,Drip,899.5,30.3,52.6,44.9,131.7,13.1,3.2,7.01
Andhra Pradesh,Cotton,Loamy,Sprinkler,512.1,29.2,83.1,41.1,122.9,11.1,6.5,4.99
West Bengal,Maize,Black Soil,Sprinkler,681.3,24.0,71.9,38.1,142.6,2.7,3.7,5.78
West Bengal,Wheat,Black Soil,Drip,1019.9,28.9,87.5,42.5,106.3,4.5,2.5,6.12
West Bengal,Rice,Red Soil,Rainfed,482.1,29.5,52.9,39.1,91.8,4.6,0.5,4.66
West Bengal,Sugarcane,Black Soil,Sprinkler,559.3,25.5,65.8,30.0,61.6,5.3,2.0,5.65
West Bengal,Wheat,Sandy,Sprinkler,823.8,25.8,70.5,43.2,103.0,3.9,1.9,4.95
West Bengal,Wheat,Clay,Canal,843.1,24.0,68.7,41.2,146.6,5.2,7.1,5.64
Punjab,Rice,Red Soil,Sprinkler,672.5,26.2,76.0,40.8,82.1,10.0,2.0,5.89
Andhra Pradesh,Wheat,Sandy,Drip,718.7,28.0,65.7,47.8,123.6,12.8,3.6,5.62
West Bengal,Sugarcane,Loamy,Canal,897.3,25.8,93.5,44.5,110.7,2.4,4.2,5.83
Andhra Pradesh,Groundnut,Clay,Rainfed,966.9,22.1,68.5,51.1,93.3,3.9,5.5,4.04
Andhra Pradesh,Wheat,Black Soil,Canal,544.8,25.2,35.0,43.1,50.1,7.6,3.5,4.85
Karnataka,Groundnut,Clay,Drip,860.2,26.3,69.0,42.9,162.7,2.3,2.6,5.69
Punjab,Sugarcane,Loamy,Drip,1112.6,31.3,83.1,49.3,133.1,7.7,2.5,7.68
West Bengal,Rice,Red Soil,Canal,754.5,30.4,56.9,52.1,208.3,8.6,4.1,6.51
Tamil Nadu,Maize,Red Soil,Rainfed,542.4,31.3,56.2,38.1,152.8,9.1,2.3,5.41
Maharashtra,Wheat,Red Soil,Canal,532.3,25.0,57.9,41.4,161.9,8.5,1.5,5.73
Tamil Nadu,Maize,Black Soil,Rainfed,,28.6,55.1,46.6,53.8,5.4,2.6,6.23
Punjab,Sugarcane,Sandy,Canal,1007.9,18.3,62.2,43.0,53.2,6.5,1.1,5.89
Maharashtra,Wheat,Sandy,Drip,771.0,29.7,78.9,39.7,116.5,3.5,6.8,4.35
Punjab,Groundnut,Clay,Sprinkler,821.6,30.4,86.3,47.8,74.8,8.4,4.6,5.85
Andhra Pradesh,Cotton,Black Soil,Sprinkler,560.8,26.6,38.9,26.6,91.2,11.8,6.4,5.41
Maharashtra,Maize,Red Soil,Rainfed,996.3,29.2,63.5,48.6,203.4,8.4,4.4,6.14
Andhra Pradesh,Wheat,Red Soil,Rainfed,528.0,21.9,71.6,33.0,156.6,4.9,6.2,3.27
Tamil Nadu,Maize,Loamy,Rainfed,669.0,24.8,70.4,48.4,82.3,10.0,4.2,5.43
Tamil Nadu,Wheat,Loamy,Drip,918.6,31.1,90.8,50.0,32.2,14.1,4.8,5.91
Maharashtra,Rice,Red Soil,Canal,331.3,30.0,43.9,40.4,79.3,7.7,0.0,4.34
Maharashtra,Groundnut,Red Soil,Drip,818.3,26.4,36.9,45.2,95.5,8.7,1.9,5.61
West Bengal,Maize,Black Soil,Sprinkler,551.4,31.2,92.7,38.1,103.8,9.0,3.6,4.89
Punjab,Cotton,Sandy,Rainfed,783.6,28.6,77.0,42.8,70.2,2.2,3.6,4.65
West Bengal,Cotton,Loamy,Canal,702.5,26.0,61.1,39.5,154.5,5.8,3.4,5.92
Punjab,Sugarcane,Sandy,Sprinkler,1243.3,27.3,70.1,72.2,90.1,5.5,4.3,6.89
West Bengal,Wheat,Black Soil,Sprinkler,693.5,26.2,70.9,47.2,137.7,9.5,4.4,5.75
Andhra Pradesh,Maize,Red Soil,Sprinkler,1185.4,23.3,60.9,48.2,116.9,9.2,5.1,6.22
Maharashtra,Sugarcane,Sandy,Drip,909.1,33.0,69.7,63.6,147.8,6.6,4.7,5.83
Tamil Nadu,Maize,Red Soil,Rainfed,603.7,25.7,72.3,37.7,106.7,5.3,5.7,4.32
Punjab,Wheat,Red Soil,Sprinkler,852.8,24.7,92.2,48.2,82.6,1.9,5.7,4.18
Punjab,Cotton,Clay,Rainfed,713.0,21.9,79.6,48.5,94.0,7.0,3.8,4.94
Tamil Nadu,Rice,Sandy,Drip,833.3,18.0,88.9,36.6,94.5,4.1,7.2,4.72
West Bengal,Cotton,Sandy,Sprinkler,622.9,30.8,51.9,35.6,187.3,3.8,5.9,5.05
Punjab,Sugarcane,Red Soil,Drip,1151.8,31.2,63.8,63.7,117.7,9.8,2.0,7.6
Andhra Pradesh,Groundnut,Black Soil,Drip,983.6,32.8,70.9,48.2,115.2,9.5,4.2,6.45
Maharashtra,Rice,Clay,Rainfed,787.0,27.4,44.9,50.7,145.9,5.5,0.2,6.06
Tamil Nadu,Sugarcane,Red Soil,Sprinkler,1160.4,26.7,82.2,51.3,115.0,2.3,0.5,7.25
Maharashtra,Wheat,Loamy,Drip,796.3,26.0,75.7,44.3,154.3,4.5,2.6,6.99
Punjab,Rice,Loamy,Sprinkler,1021.5,26.3,63.6,61.2,102.0,10.0,1.9,7.4
Punjab,Sugarcane,Clay,Rainfed,788.4,32.5,65.8,47.3,98.4,8.4,2.6,5.87
Tamil Nadu,Wheat,Black Soil,Drip,866.7,27.9,83.0,44.6,80.7,5.6,4.1,6.31
Andhra Pradesh,Cotton,Red Soil,Rainfed,762.1,29.5,58.5,40.0,179.8,7.2,5.7,4.78
Karnataka,Groundnut,Sandy,Sprinkler,801.0,26.2,83.5,41.5,112.6,0.8,5.6,4.39
Tamil Nadu,Wheat,Clay,Sprinkler,817.5,33.3,65.0,52.9,73.9,0.5,4.2,5.39
Karnataka,Maize,Black Soil,Rainfed,632.7,20.4,77.1,45.4,121.9,12.9,1.5,5.45
West Bengal,Wheat,Sandy,Canal,691.8,23.1,69.0,35.4,92.2,8.5,2.5,4.86
Karnataka,Wheat,Loamy,Drip,732.3,29.5,94.8,43.8,101.4,7.0,4.6,5.95
Andhra Pradesh,Groundnut,Loamy,Sprinkler,830.5,35.0,57.4,45.4,125.9,5.8,2.0,5.15
West Bengal,Maize,Sandy,Sprinkler,773.3,27.1,61.1,46.2,168.2,1.7,1.2,6.44
Karnataka,Sugarcane,Clay,Drip,1038.1,24.6,49.9,47.3,118.6,10.0,4.4,6.89
West Bengal,Sugarcane,Loamy,Rainfed,966.4,32.0,54.8,55.7,90.1,3.6,3.4,5.76
Karnataka,Wheat,Red Soil,Rainfed,736.8,29.3,76.6,43.4,97.3,9.1,3.1,5.46
Andhra Pradesh,Maize,Sandy,Rainfed,1084.0,33.2,87.2,54.3,138.0,7.4,5.5,5.42
Karnataka,Maize,Sandy,Canal,1192.1,22.8,77.9,50.1,46.5,6.8,5.5,5.37
Karnataka,Groundnut,Loamy,Canal,330.4,32.8,67.9,28.9,78.5,3.1,6.7,3.49
Karnataka,Cotton,Clay,Sprinkler,985.1,21.8,57.3,65.6,122.4,3.1,2.3,6.62
Tamil Nadu,Sugarcane,Red Soil,Rainfed,627.5,26.8,78.8,51.5,55.3,8.2,4.3,4.97
Tamil Nadu,Groundnut,Clay,Drip,956.2,29.7,56.6,48.5,104.1,7.2,3.5,5.86
Tamil Nadu,Rice,Black Soil,Sprinkler,1052.4,28.7,51.8,60.5,98.3,7.1,4.1,7.13
Andhra Pradesh,Sugarcane,Black Soil,Drip,587.1,32.2,64.3,47.0,145.7,7.9,1.5,6.78
West Bengal,Groundnut,Loamy,Sprinkler,372.5,20.7,43.6,30.6,106.2,1.2,1.0,4.98
Punjab,Sugarcane,Loamy,Canal,963.8,28.6,51.4,44.7,156.5,10.0,3.4,7.39
Karnataka,Cotton,Loamy,Sprinkler,809.8,32.8,90.6,49.3,117.8,5.9,2.0,6.26
Karnataka,Rice,Black Soil,Canal,412.9,28.2,49.2,36.9,177.2,10.5,5.2,5.43
Andhra Pradesh,Cotton,Clay,Sprinkler,1336.5,23.4,53.7,56.0,66.4,1.0,0.8,6.74
Karnataka,Rice,Clay,Rainfed,917.4,32.0,68.9,52.3,171.6,8.7,0.9,6.57
Tamil Nadu,Wheat,Loamy,Drip,927.4,25.4,69.5,39.5,100.6,8.7,2.8,6.48
Punjab,Groundnut,Red Soil,Rainfed,1080.5,24.7,65.2,52.7,166.6,2.5,0.7,5.4
Maharashtra,Rice,Clay,Sprinkler,652.2,24.2,44.0,33.9,156.5,5.1,6.5,5.03
Karnataka,Cotton,Black Soil,Sprinkler,808.7,27.2,78.2,38.0,30.0,3.8,3.2,4.97
Tamil Nadu,Sugarcane,Sandy,Sprinkler,489.7,28.7,62.7,33.0,131.8,9.6,2.4,5.61
Maharashtra,Rice,Sandy,Canal,646.3,22.9,82.6,43.3,149.9,7.9,4.3,5.91
Punjab,Groundnut,Sandy,Drip,,23.7,60.3,42.6,161.5,11.8,5.1,6.08
Maharashtra,Rice,Red Soil,Drip,413.6,25.2,79.8,28.0,73.8,7.6,3.9,4.19
Tamil Nadu,Maize,Loamy,Sprinkler,640.0,24.2,83.6,43.9,135.7,9.2,3.4,5.82
West Bengal,Sugarcane,Black Soil,Sprinkler,575.9,28.1,62.4,48.4,121.8,10.5,1.7,6.92
West Bengal,Groundnut,Red Soil,Canal,811.3,29.4,78.6,49.1,130.1,8.7,4.6,5.3
Maharashtra,Groundnut,Black Soil,Rainfed,906.4,28.9,52.1,58.5,150.0,5.8,6.1,5.73
Andhra Pradesh,Wheat,Black Soil,Rainfed,943.3,28.9,71.2,57.0,155.5,5.3,3.1,6.05
Maharashtra,Cotton,Loamy,Drip,999.7,34.7,82.7,47.1,92.0,6.8,2.0,5.98
Karnataka,Wheat,Sandy,Canal,1081.9,29.7,74.2,55.8,124.3,9.4,3.8,5.84
Karnataka,Groundnut,Loamy,Sprinkler,913.6,31.1,95.0,47.3,116.4,4.7,3.5,4.68
West Bengal,Sugarcane,Red Soil,Drip,1195.2,26.3,74.9,61.3,106.6,9.0,1.3,7.59
Andhra Pradesh,Rice,Red Soil,Canal,806.3,31.8,63.6,44.6,110.0,8.0,2.6,5.34
Tamil Nadu,Rice,Red Soil,Rainfed,741.9,26.2,95.0,38.8,121.9,3.2,6.7,4.11
Karnataka,Sugarcane,Loamy,Canal,913.6,29.6,87.6,56.1,93.9,8.8,1.1,6.87
West Bengal,Groundnut,Black Soil,Rainfed,732.4,22.5,48.8,45.2,145.9,7.4,2.3,5.61
Punjab,Rice,Black Soil,Canal,1187.6,28.7,58.6,50.7,159.4,5.3,1.8,6.75
West Bengal,Rice,Clay,Drip,1028.8,24.1,55.5,47.7,86.3,7.4,2.0,6.85
Karnataka,Rice,Red Soil,Rainfed,945.1,31.7,75.7,44.6,161.1,5.5,2.7,5.3
Karnataka,Cotton,Black Soil,Drip,808.9,31.5,74.9,39.2,86.3,7.7,4.3,5.68
West Bengal,Cotton,Clay,Drip,690.4,26.1,74.8,39.4,146.4,6.5,5.9,5.64
Tamil Nadu,Maize,Black Soil,Rainfed,934.3,36.2,48.4,50.6,161.1,2.4,3.9,5.55
Maharashtra,Wheat,Red Soil,Rainfed,532.0,26.9,60.3,38.7,111.7,6.6,2.3,4.43
Karnataka,Sugarcane,Sandy,Sprinkler,1117.6,21.6,66.2,50.3,86.6,5.7,6.3,5.51
West Bengal,Sugarcane,Red Soil,Sprinkler,740.9,24.9,46.1,52.5,94.4,8.9,0.0,6.42
West Bengal,Sugarcane,Loamy,Sprinkler,847.1,23.8,57.5,34.1,127.7,9.6,4.7,6.36
Andhra Pradesh,Maize,Black Soil,Drip,579.9,29.5,84.3,41.3,183.8,5.5,1.7,5.8
Maharashtra,Cotton,Black Soil,Drip,939.1,23.1,49.4,47.6,55.8,4.6,3.4,5.0
Punjab,Groundnut,Loamy,Sprinkler,680.2,25.8,85.5,36.2,118.5,2.0,4.5,5.52
Tamil Nadu,Groundnut,Loamy,Drip,922.8,29.3,81.1,50.3,111.9,4.6,0.6,6.45
Punjab,Maize,Sandy,Drip,946.6,28.6,64.5,47.3,99.0,6.0,3.8,6.19
Maharashtra,Groundnut,Black Soil,Rainfed,637.5,27.9,60.2,48.4,112.2,3.0,3.9,4.33
Maharashtra,Sugarcane,Black Soil,Rainfed,532.8,28.5,78.0,43.5,96.0,9.7,6.1,4.63
Maharashtra,Wheat,Sandy,Drip,1117.0,26.5,58.5,64.4,158.5,7.8,8.4,5.7
Punjab,Rice,Clay,Sprinkler,737.7,21.6,59.1,40.5,162.0,6.6,0.7,6.29
Maharashtra,Cotton,Sandy,Canal,829.5,26.4,67.7,54.1,118.1,6.9,6.1,5.08
West Bengal,Cotton,Red Soil,Sprinkler,886.8,29.9,42.4,40.2,110.1,7.9,3.4,5.42
Punjab,Maize,Black Soil,Canal,504.2,27.5,50.6,36.9,97.7,8.9,2.0,6.12
Maharashtra,Cotton,Loamy,Sprinkler,881.8,29.6,64.2,44.3,118.2,9.4,4.2,5.72
West Bengal,Sugarcane,Red Soil,Rainfed,801.8,25.7,73.7,48.7,179.7,6.1,1.2,6.17
Andhra Pradesh,Groundnut,Black Soil,Drip,638.4,32.0,58.4,44.4,111.4,6.6,1.3,5.25
Maharashtra,Sugarcane,Sandy,Drip,525.6,18.0,65.6,32.7,85.6,7.5,0.4,4.64
Punjab,Maize,Red Soil,Rainfed,913.3,28.6,48.6,51.8,101.1,6.5,4.5,5.44
Karnataka,Sugarcane,Black Soil,Canal,1028.1,33.4,79.2,48.4,141.4,9.6,4.1,6.41
Maharashtra,Groundnut,Clay,Canal,819.3,34.0,70.6,40.6,89.9,10.7,2.0,5.4
Karnataka,Wheat,Clay,Canal,464.4,27.1,71.7,36.5,113.8,8.0,6.2,4.82
West Bengal,Maize,Loamy,Rainfed,547.4,22.7,73.9,29.8,131.6,4.3,2.3,5.11
Andhra Pradesh,Wheat,Black Soil,Canal,684.9,33.5,68.9,47.7,92.5,8.5,5.8,4.82
Tamil Nadu,Rice,Clay,Rainfed,1124.2,27.8,62.2,52.8,53.2,8.2,3.7,6.02
Andhra Pradesh,Wheat,Sandy,Sprinkler,725.7,27.4,81.6,42.9,77.5,4.0,2.3,4.89
Maharashtra,Rice,Black Soil,Sprinkler,676.9,24.4,69.9,41.4,84.9,8.1,3.3,4.87
Karnataka,Rice,Sandy,Rainfed,411.8,23.0,66.0,45.2,107.0,5.4,1.2,3.8
Karnataka,Wheat,Sandy,Drip,635.5,30.3,67.9,50.0,116.6,9.2,3.9,5.4
Punjab,Maize,Clay,Sprinkler,508.8,30.7,67.6,45.8,143.8,8.5,3.6,5.3
Karnataka,Groundnut,Black Soil,Canal,559.3,28.8,65.9,38.5,72.0,7.7,4.4,4.65
Punjab,Sugarcane,Red Soil,Rainfed,806.4,24.9,73.4,38.5,138.7,7.1,5.1,4.71
West Bengal,Sugarcane,Clay,Canal,691.7,23.7,56.8,42.2,102.0,0.6,3.7,5.29
Tamil Nadu,Groundnut,Clay,Canal,1153.9,22.3,57.6,55.7,52.5,3.4,0.8,5.23
Maharashtra,Rice,Black Soil,Drip,1017.2,25.8,74.7,55.3,115.5,6.6,5.2,6.22
Punjab,Rice,Black Soil,Canal,646.0,24.0,66.3,43.0,161.1,11.6,3.5,6.14
Tamil Nadu,Maize,Sandy,Drip,578.3,21.2,79.7,33.3,145.9,8.7,0.1,5.49
Karnataka,Cotton,Black Soil,Sprinkler,1084.2,30.6,72.9,48.9,112.3,12.4,4.1,6.4
Karnataka,Wheat,Sandy,Rainfed,1145.2,22.7,61.4,,154.4,7.2,4.2,5.05
Tamil Nadu,Rice,Clay,Canal,297.3,31.9,74.9,35.7,121.7,6.9,2.9,4.49
Karnataka,Sugarcane,Loamy,Rainfed,800.4,29.6,82.4,48.4,149.3,11.3,3.1,5.69
West Bengal,Maize,Red Soil,Canal,724.6,29.2,73.4,47.3,56.8,6.5,2.4,5.34
West Bengal,Wheat,Clay,Rainfed,922.8,34.7,76.0,49.9,71.3,4.0,4.2,4.96
Tamil Nadu,Maize,Black Soil,Canal,1207.4,22.9,65.9,42.8,140.5,8.0,3.8,6.95
Punjab,Wheat,Red Soil,Canal,673.5,31.5,79.9,31.5,168.9,10.4,1.9,5.63
Punjab,Wheat,Loamy,Canal,326.6,26.8,61.0,32.3,129.6,4.5,6.4,4.01
Tamil Nadu,Groundnut,Loamy,Canal,907.4,38.3,72.1,48.3,97.6,8.8,2.3,5.67
Punjab,Rice,Sandy,Canal,1085.8,26.5,95.0,59.7,85.2,6.7,0.0,6.56
Punjab,Maize,Red Soil,Canal,713.2,25.8,74.5,43.3,104.0,8.4,2.7,5.25
West Bengal,Maize,Sandy,Canal,624.9,29.7,63.0,34.8,157.5,7.9,5.4,4.61
Punjab,Groundnut,Clay,Canal,683.8,27.2,62.9,46.1,103.0,5.8,3.1,5.56
Andhra Pradesh,Sugarcane,Red Soil,Canal,967.0,25.0,67.1,49.1,151.7,6.7,0.6,6.72
Maharashtra,Sugarcane,Clay,Rainfed,680.0,24.1,78.2,39.6,137.8,5.9,1.6,5.79
Karnataka,Rice,Sandy,Drip,852.3,33.8,69.7,36.6,175.0,7.4,1.6,6.54
Andhra Pradesh,Rice,Red Soil,Canal,786.1,23.3,60.2,45.2,122.0,4.5,2.5,5.02
Punjab,Cotton,Sandy,Drip,763.4,28.9,60.2,45.5,113.3,5.2,3.0,5.28
West Bengal,Groundnut,Red Soil,Canal,934.3,32.2,69.8,42.4,153.4,5.8,4.4,5.54
Tamil Nadu,Sugarcane,Sandy,Canal,674.7,32.4,68.5,46.3,82.3,8.2,3.7,5.39
Punjab,Wheat,Loamy,Rainfed,685.3,25.6,73.5,46.1,99.5,2.8,3.8,5.35
West Bengal,Maize,Sandy,Sprinkler,955.5,27.2,79.0,49.2,56.2,6.7,6.7,5.42
Maharashtra,Rice,Loamy,Sprinkler,562.9,26.4,95.0,39.1,71.1,4.9,5.0,5.35
Punjab,Maize,Sandy,Rainfed,586.4,21.9,50.5,45.3,182.3,5.8,4.9,4.75
Tamil Nadu,Maize,Red Soil,Drip,502.7,30.2,76.2,39.8,139.2,5.0,0.2,5.36
West Bengal,Cotton,Red Soil,Sprinkler,966.8,28.2,69.2,45.0,67.0,7.6,2.1,6.43
West Bengal,Sugarcane,Red Soil,Rainfed,,33.8,45.9,42.7,156.8,6.5,0.6,5.77
West Bengal,Rice,Black Soil,Rainfed,491.0,24.7,83.0,40.6,90.4,9.1,2.1,4.9
Maharashtra,Maize,Clay,Sprinkler,967.8,32.4,73.1,37.0,137.4,8.2,4.9,5.51
Punjab,Rice,Red Soil,Drip,657.8,32.6,77.6,35.9,136.9,2.4,2.8,5.55
Maharashtra,Wheat,Loamy,Rainfed,588.2,28.2,47.6,43.8,173.3,4.1,5.4,5.27
Karnataka,Cotton,Red Soil,Canal,737.0,19.3,65.4,50.7,96.2,6.5,4.7,4.62
Karnataka,Wheat,Black Soil,Drip,1105.3,25.9,55.0,58.8,89.1,6.9,3.6,6.48
Punjab,Rice,Loamy,Drip,693.1,35.1,94.0,47.7,30.0,4.4,5.5,5.32
Maharashtra,Rice,Black Soil,Sprinkler,906.6,29.2,81.7,48.4,110.7,10.9,6.0,6.35
Tamil Nadu,Sugarcane,Loamy,Sprinkler,940.0,30.8,59.8,42.3,140.4,9.6,4.3,6.7
